Publication,Website,Category,Total Score,Priority Tier,RSS Status,RSS Feed URL / Hub
LTC News,https://www.ltcnews.com/,Long-term care/insurance media,16,Tier 2,Not located,
Caregiving.com,https://www.caregiving.com/,Caregiving media,16,Tier 2,Not located,
DailyCaring,https://dailycaring.com/,Aging/caregiving media,13,Tier 3,Yes,https://dailycaring.com/feed/
Senior Helpers News/Resources,https://www.seniorhelpers.com/resources/,Home care brand media,10,Tier 4,Not located,
McKnight's Home Care,https://www.mcknightshomecare.com/,Home care trade,17,Tier 1,Not located,
Senior Trade Shows / Senior Living Foresight,https://www.seniorlivingforesight.net/,Senior living thought leadership,18,Tier 1,Yes,Podcast RSS: https://seniorlivingforesight.libsyn.com/rss
Senior Living Innovation Forum,https://seniorlivinginnovationforum.com/,Senior living executive community,14,Tier 2,Not located,
NIC Insider / NIC Notes,https://www.nic.org/,Senior housing research/finance,13,Tier 3,Not located,
ASHA Special Issue / Research,https://www.ashaliving.org/,Senior housing association,14,Tier 2,Not located,
LeadingAge Ziegler 200 / Research,https://leadingage.org/,Senior living nonprofit research,14,Tier 2,Not located,
Food Management,https://www.food-management.com/,Foodservice B2B,11,Tier 3,Yes,Multiple official feeds
FoodService Director,https://www.foodservicedirector.com/,Foodservice B2B,9,Tier 4,Not located,
McKnight's Tech Daily,https://www.mcknights.com/,Senior care technology,14,Tier 2,Needs recheck,
AgeTech Collaborative / AARP Innovation,https://agetechcollaborative.org/,Age-tech ecosystem,15,Tier 2,Not located,
Longevity.Technology,https://longevity.technology/,Longevity industry media,12,Tier 3,Yes,RSS feeds available
Longevity Global / Longevity Business Review,https://longevity.technology/,Longevity business,9,Tier 4,Yes,RSS feeds available via Longevity.Technology
Workspan Daily,https://worldatwork.org/,HR/total rewards B2B,12,Tier 3,Not located,
HR Dive,https://www.hrdive.com/,HR B2B,13,Tier 3,Yes,https://www.hrdive.com/feeds/news/
SHRM HR News,https://www.shrm.org/topics-tools/news,HR association media,10,Tier 4,Yes,Feed available; exact endpoint not surfaced in search
Route Fifty,https://www.route-fifty.com/,State/local government B2B,13,Tier 3,Yes,RSS available via site
Governing,https://www.governing.com/,State/local government B2B,13,Tier 3,Not located,
StateScoop,https://statescoop.com/,State government technology,9,Tier 4,Yes,RSS news feed available
Nonprofit Quarterly,https://nonprofitquarterly.org/,Nonprofit sector B2B,13,Tier 3,Yes,Feed available; exact endpoint not surfaced in search
The NonProfit Times,https://thenonprofittimes.com/,Nonprofit management B2B,11,Tier 3,Yes,Feed available; exact endpoint not surfaced in search
